age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration_mins,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
38.0,5.0,2.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0,1.883333333,999.0,1.0,1.0,-1.8,92.843,-50.0,1.687,5099.1,1.0
33.0,5.0,2.0,4.0,0.0,2.0,1.0,2.0,6.0,1.0,6.55,999.0,0.0,0.0,1.4,94.465,-41.8,4.865,5228.1,1.0
51.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,5.0,2.516666667,999.0,0.0,0.0,-2.9,92.963,-40.8,1.268,5076.2,1.0
30.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,6.0,2.0,4.266666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.864,5228.1,1.0
48.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,4.0,0.7,999.0,0.0,0.0,1.4,93.444,-36.1,4.962,5228.1,1.0
28.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,6.0,3.0,8.75,999.0,0.0,0.0,1.4,94.465,-41.8,4.864,5228.1,1.0
36.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,0.95,999.0,0.0,0.0,1.1,93.994,-36.4,4.859,5191.0,1.0
46.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,11.0,3.0,8.316666667,999.0,0.0,0.0,-0.1,93.2,-42.0,4.12,5195.8,1.0
31.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,5.0,3.0,1.4,999.0,1.0,1.0,-1.8,92.893,-46.2,1.334,5099.1,1.0
20.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,1.0,2.283333333,999.0,3.0,1.0,-1.1,94.601,-49.5,0.977,4963.6,1.0
35.0,5.0,2.0,4.0,0.0,2.0,1.0,1.0,5.0,2.0,0.516666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.344,5099.1,1.0
38.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,6.0,5.0,7.166666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.967,5228.1,1.0
76.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,4.0,2.1,999.0,1.0,1.0,-1.7,94.027,-38.3,0.899,4991.6,1.0
45.0,7.0,3.0,5.0,1.0,2.0,1.0,1.0,7.0,2.0,3.516666667,999.0,0.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1.0
32.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,5.666666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,1.0
39.0,8.0,1.0,5.0,0.0,1.0,1.0,1.0,5.0,4.0,6.866666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,1.0
32.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,11.0,4.0,2.2,999.0,0.0,0.0,-0.1,93.2,-42.0,4.592,5195.8,1.0
29.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.316666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.299,5099.1,1.0
44.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,1.0,5.683333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.97,5228.1,1.0
32.0,5.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,5.0,2.616666667,999.0,0.0,0.0,1.4,93.918,-42.7,4.957,5228.1,1.0
56.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,6.0,3.0,4.2,999.0,2.0,1.0,-2.9,92.963,-40.8,1.26,5076.2,1.0
33.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,4.0,4.383333333,999.0,0.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,1.0
39.0,8.0,2.0,4.0,1.0,1.0,1.0,1.0,8.0,5.0,3.583333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.966,5228.1,1.0
24.0,5.0,2.0,5.0,1.0,2.0,2.0,1.0,9.0,2.0,1.483333333,3.0,1.0,2.0,-3.4,92.379,-29.8,0.77,5017.5,2.0
33.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,2.383333333,999.0,0.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,1.0
58.0,7.0,3.0,5.0,1.0,1.0,1.0,2.0,6.0,4.0,0.666666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.866,5228.1,1.0
29.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,6.0,5.0,0.166666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.959,5228.1,1.0
31.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,8.0,4.0,1.883333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.964,5228.1,1.0
27.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,3.0,3.183333333,999.0,0.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1.0
60.0,4.0,3.0,5.0,1.0,2.0,1.0,1.0,9.0,3.0,8.016666667,999.0,1.0,1.0,-1.1,94.199,-37.5,0.886,4963.6,2.0
55.0,7.0,2.0,5.0,1.0,2.0,2.0,1.0,10.0,1.0,3.883333333,999.0,2.0,1.0,-3.4,92.431,-26.9,0.739,5017.5,1.0
37.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,3.0,3.4,999.0,0.0,0.0,-1.8,92.893,-46.2,1.334,5099.1,1.0
52.0,4.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0,6.716666667,6.0,1.0,2.0,-1.8,93.749,-34.6,0.654,5008.7,2.0
46.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,999.0,0.0,0.0,-1.8,93.075,-47.1,1.405,5099.1,1.0
42.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,0.266666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,1.0
35.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,7.0,1.0,7.45,999.0,0.0,0.0,1.4,93.918,-42.7,4.96,5228.1,1.0
49.0,5.0,3.0,0.0,1.0,2.0,2.0,1.0,10.0,4.0,1.35,999.0,0.0,0.0,-3.4,92.431,-26.9,0.754,5017.5,1.0
29.0,5.0,3.0,4.0,1.0,1.0,2.0,2.0,6.0,1.0,6.016666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.865,5228.1,1.0
32.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0,18.18333333,5.0,1.0,2.0,-0.1,93.2,-42.0,4.191,5195.8,2.0
37.0,6.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,6.583333333,999.0,1.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,1.0
39.0,5.0,1.0,5.0,0.0,1.0,1.0,2.0,6.0,1.0,7.2,999.0,0.0,0.0,1.4,94.465,-41.8,4.865,5228.1,2.0
51.0,5.0,2.0,4.0,0.0,2.0,1.0,2.0,7.0,1.0,9.933333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.962,5228.1,2.0
28.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,0.983333333,999.0,0.0,0.0,-1.8,92.893,-46.2,1.291,5099.1,1.0
34.0,8.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,3.0,1.283333333,999.0,0.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,1.0
31.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,8.0,2.0,12.8,999.0,0.0,0.0,1.4,93.444,-36.1,4.966,5228.1,2.0
31.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,8.0,4.0,1.6,999.0,0.0,0.0,1.4,93.444,-36.1,4.962,5228.1,1.0
31.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,6.0,3.0,5.95,999.0,0.0,0.0,1.4,94.465,-41.8,4.864,5228.1,1.0
38.0,6.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,4.0,7.65,999.0,0.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1.0
33.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,5.0,0.183333333,999.0,0.0,0.0,1.4,94.465,-41.8,4.959,5228.1,1.0
32.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,8.0,2.0,4.4,999.0,0.0,0.0,1.4,93.444,-36.1,4.966,5228.1,1.0
54.0,5.0,2.0,5.0,0.0,2.0,1.0,1.0,4.0,1.0,11.63333333,999.0,0.0,0.0,-1.8,93.075,-47.1,1.405,5099.1,1.0
41.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,6.0,2.0,3.4,999.0,0.0,0.0,1.4,94.465,-41.8,4.961,5228.1,1.0
59.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,8.0,4.0,1.55,999.0,0.0,0.0,1.4,93.444,-36.1,4.963,5228.1,1.0
57.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,4.0,6.233333333,2.0,1.0,2.0,-1.8,93.075,-47.1,1.365,5099.1,1.0
38.0,7.0,3.0,5.0,1.0,2.0,1.0,1.0,11.0,4.0,4.2,999.0,0.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,1.0
46.0,4.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,2.0,2.633333333,999.0,0.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1.0
37.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,11.0,2.0,1.583333333,999.0,0.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,1.0
47.0,5.0,1.0,3.0,1.0,0.0,0.0,2.0,6.0,4.0,13.91666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.961,5228.1,2.0
45.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,8.0,4.0,8.416666667,999.0,0.0,0.0,1.4,93.444,-36.1,4.964,5228.1,2.0
36.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,3.0,0.266666667,999.0,0.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1.0
40.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,7.0,1.0,5.0,999.0,0.0,0.0,1.4,93.918,-42.7,4.96,5228.1,1.0
38.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,999.0,1.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,1.0
44.0,3.0,2.0,4.0,0.0,1.0,1.0,2.0,6.0,2.0,6.5,999.0,0.0,0.0,1.4,94.465,-41.8,4.961,5228.1,1.0
25.0,6.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,5.0,4.566666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1.0
30.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,7.0,2.0,2.25,999.0,0.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1.0
43.0,8.0,2.0,5.0,1.0,1.0,1.0,1.0,11.0,2.0,4.283333333,999.0,0.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,1.0
58.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0,1.0,4.466666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1.0
31.0,5.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,3.0,2.616666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.856,5191.0,1.0
53.0,8.0,2.0,5.0,1.0,1.0,1.0,1.0,7.0,2.0,7.95,999.0,0.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1.0
52.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,8.0,2.0,1.516666667,999.0,0.0,0.0,1.4,93.444,-36.1,4.968,5228.1,1.0
37.0,8.0,2.0,5.0,0.0,1.0,2.0,1.0,4.0,5.0,1.266666667,999.0,1.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,1.0
58.0,4.0,2.0,4.0,0.0,2.0,1.0,1.0,7.0,2.0,1.716666667,999.0,0.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1.0
37.0,5.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,4.0,7.266666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.266,5099.1,1.0
38.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,5.0,5.0,3.183333333,999.0,0.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,1.0
33.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,8.05,999.0,0.0,0.0,-1.8,93.075,-47.1,1.41,5099.1,1.0
45.0,5.0,2.0,4.0,0.0,2.0,1.0,1.0,5.0,5.0,4.166666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.25,5099.1,1.0
44.0,7.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,4.316666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.858,5191.0,1.0
38.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,4.0,6.483333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.966,5228.1,1.0
34.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,2.0,0.116666667,999.0,0.0,0.0,-1.7,94.055,-39.8,0.702,4991.6,1.0
47.0,8.0,2.0,5.0,1.0,2.0,1.0,1.0,7.0,3.0,2.05,999.0,0.0,0.0,-2.9,92.469,-33.6,1.029,5076.2,1.0
59.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,7.0,3.0,1.533333333,999.0,0.0,0.0,-2.9,92.469,-33.6,1.085,5076.2,1.0
51.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,8.0,4.0,4.95,999.0,0.0,0.0,1.4,93.444,-36.1,4.964,5228.1,1.0
31.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,3.0,6.766666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.864,5228.1,1.0
56.0,8.0,2.0,5.0,1.0,2.0,2.0,1.0,11.0,3.0,1.733333333,999.0,1.0,1.0,-0.1,93.2,-42.0,4.12,5195.8,1.0
39.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,6.0,1.0,2.25,999.0,0.0,0.0,1.4,94.465,-41.8,4.961,5228.1,1.0
41.0,7.0,2.0,5.0,1.0,2.0,1.0,1.0,11.0,2.0,14.23333333,999.0,0.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,2.0
41.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,11.0,4.0,2.45,999.0,0.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,1.0
53.0,5.0,2.0,4.0,0.0,1.0,1.0,2.0,5.0,4.0,3.383333333,999.0,0.0,0.0,1.1,93.994,-36.4,4.86,5191.0,1.0
35.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,2.483333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1.0
58.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,5.0,3.0,2.4,999.0,0.0,0.0,-1.8,92.893,-46.2,1.334,5099.1,1.0
25.0,6.0,2.0,5.0,1.0,2.0,1.0,2.0,6.0,3.0,6.566666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.959,5228.1,1.0
35.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,8.716666667,999.0,1.0,1.0,-1.8,92.893,-46.2,1.344,5099.1,1.0
28.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.216666667,999.0,0.0,0.0,1.4,93.918,-42.7,4.963,5228.1,1.0
55.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,5.0,5.0,3.283333333,999.0,1.0,1.0,-1.8,92.893,-46.2,1.25,5099.1,1.0
54.0,7.0,2.0,1.0,0.0,1.0,2.0,2.0,5.0,4.0,1.8,999.0,0.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1.0
45.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,7.0,3.0,1.333333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1.0
32.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,1.9,999.0,1.0,1.0,-1.8,93.075,-47.1,1.41,5099.1,1.0
50.0,4.0,2.0,3.0,0.0,2.0,1.0,1.0,8.0,4.0,2.033333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.963,5228.1,1.0
75.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.816666667,999.0,1.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,2.0
33.0,6.0,3.0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,19.35,999.0,0.0,0.0,1.1,93.994,-36.4,4.858,5191.0,1.0
29.0,8.0,2.0,5.0,1.0,1.0,2.0,1.0,8.0,3.0,3.016666667,999.0,0.0,0.0,1.4,93.444,-36.1,4.967,5228.1,1.0
45.0,8.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,3.983333333,999.0,0.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,1.0
38.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,999.0,0.0,0.0,-1.8,93.075,-47.1,1.392,5099.1,2.0
24.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,5.0,1.0,5.233333333,999.0,0.0,0.0,1.1,93.994,-36.4,4.858,5191.0,1.0
41.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,8.0,1.0,16.4,999.0,0.0,0.0,1.4,93.444,-36.1,4.963,5228.1,1.0
58.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,6.0,2.0,11.05,999.0,0.0,0.0,-2.9,92.963,-40.8,1.262,5076.2,2.0
34.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,5.0,3.0,2.616666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1.0
34.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,11.0,1.0,2.35,999.0,0.0,0.0,-1.1,94.767,-50.8,1.05,4963.6,1.0
37.0,5.0,3.0,5.0,1.0,1.0,1.0,2.0,5.0,3.0,6.233333333,999.0,0.0,0.0,1.1,93.994,-36.4,4.856,5191.0,1.0
53.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,11.76666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.959,5228.1,2.0
54.0,5.0,3.0,5.0,1.0,2.0,2.0,1.0,7.0,2.0,13.28333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1.0
32.0,5.0,3.0,5.0,1.0,2.0,1.0,1.0,11.0,2.0,4.166666667,999.0,0.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,1.0
42.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,7.0,5.0,5.183333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1.0
28.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,8.0,4.0,1.05,3.0,1.0,2.0,-2.9,92.201,-31.4,0.851,5076.2,2.0
33.0,5.0,1.0,4.0,1.0,2.0,1.0,2.0,5.0,5.0,1.85,999.0,0.0,0.0,1.1,93.994,-36.4,4.864,5191.0,1.0
41.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.466666667,999.0,0.0,0.0,-1.8,93.075,-47.1,1.405,5099.1,1.0
31.0,5.0,2.0,4.0,1.0,1.0,2.0,1.0,11.0,4.0,0.816666667,999.0,0.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,1.0
40.0,5.0,2.0,3.0,0.0,1.0,2.0,2.0,5.0,4.0,2.85,999.0,0.0,0.0,1.1,93.994,-36.4,4.86,5191.0,1.0
53.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,11.0,3.0,4.033333333,999.0,1.0,1.0,-3.4,92.649,-30.1,0.716,5017.5,1.0
40.0,4.0,3.0,5.0,1.0,2.0,1.0,1.0,8.0,1.0,4.283333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.965,5228.1,1.0
82.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,2.0,4.65,3.0,2.0,2.0,-1.1,94.199,-37.5,0.877,4963.6,2.0
28.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.883333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.96,5228.1,1.0
30.0,4.0,2.0,4.0,0.0,2.0,1.0,1.0,11.0,3.0,4.1,999.0,0.0,0.0,-0.1,93.2,-42.0,4.12,5195.8,1.0
31.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,7.0,2.0,5.15,6.0,3.0,2.0,-1.7,94.215,-40.3,0.835,4991.6,2.0
32.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,8.0,3.0,2.8,999.0,0.0,0.0,1.4,93.444,-36.1,4.965,5228.1,1.0
54.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,2.55,999.0,0.0,0.0,1.4,93.444,-36.1,4.963,5228.1,1.0
31.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,3.0,2.533333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.963,5228.1,1.0
50.0,5.0,2.0,0.0,1.0,2.0,1.0,1.0,8.0,4.0,1.5,999.0,0.0,0.0,1.4,93.444,-36.1,4.968,5228.1,1.0
47.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,2.0,1.95,999.0,0.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1.0
31.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,5.0,3.0,2.483333333,999.0,0.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,1.0
32.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,11.0,4.0,10.66666667,999.0,0.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,1.0
46.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,11.0,1.0,3.316666667,999.0,2.0,1.0,-1.1,94.767,-50.8,1.048,4963.6,1.0
47.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,18.56666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.299,5099.1,1.0
32.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0,1.233333333,999.0,2.0,1.0,-1.1,94.767,-50.8,1.048,4963.6,1.0
